Call_ID,Transcript,Extracted_Event,Keywords,Location,Sentiment,Urgency_Score
C001,one ah,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.51
C002,This is the Blocopia Bank in 1302 with the Transnational Speedway call of art. O...,Robbery / theft in progress,Incident: Unknown incident,Blocopia Bank,Distressed,0.51
C003,Yeah? Yeah. Yeah. Yeah. Yeah. Yeah.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.51
C004,"Yes, we're at the Nelson building and there's some men here with the bus to clea...",Unknown incident,Incident: Unknown incident | Names: Nelson,Nelson Building,Calm,0.59
C005,"Listen, we're playing really bad at this. Okay, so get on our track, mate. Peopl...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.67
C006,Do you know why you got so many people coming up to zobindebs?,Unknown incident,Incident: Unknown incident | Urgency phrases: now,Unknown,Distressed,0.64
C007,I'm locking in the field and I'm looking for a champ. You're walking in the fiel...,Missing person report,Incident: Unknown incident,Unknown,Distressed,0.58
C008,"Tout le monde ast Denton再見, 광 making !",Unknown incident,Incident: Unknown incident | Names: Denton再見,Unknown,Calm,0.63
C009,believed it.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.6
C010,"Okay, it's out! We'll grab an四 to 되게 Fastenyelling and hold it up. Okay.",Public disturbance / riot,Incident: Unknown incident,Unknown,Calm,0.62
C011,"Yes, that's two sub-pro here that's the 8 on the ground. Okay, he did get it.",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.55
C012,"I mean, I'll wait behind the... ...and the fighters won't turn off.",Physical assault / fight,Incident: Physical assault / fight,Unknown,Calm,0.52
C013,I'm here at the police station. I'm going to hold. Okay.,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.58
C014,"Yes, ma'am, I need to go out and leave quickly. Down the church. Change.",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.82
C015,"Ma'am, my cat is a person. I had to go find it.",Missing person report,Incident: Unknown incident,Unknown,Distressed,0.66
C016,"Hello? Hello? Hello? Hello? Oh, that one was...",Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.52
C017,AMK470949 screw cool depression,Unknown incident,Incident: Unknown incident,Unknown,Distressed,0.51
C018,I need somebody escorted out of my store right away. He's causing problems.,Robbery / theft in progress,Incident: Unknown incident,My Store,Distressed,0.9
C019,Hello! Hello! Hello 911!,Unknown incident,Incident: Unknown incident,Unknown,Calm,0.71
C020,"I got three people, the second people, thank you. They're taking kids? Yes sir.",Missing person report,Incident: Unknown incident,Unknown,Calm,0.58
C021,"Hey, um, they just woke into my house. They had guns. They told us to just be on...",Physical assault / fight,Incident: Unknown incident,Unknown,Distressed,0.61
C022,"Um, I took some pills and um, the pills were really good mad, and um...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.58
C023,"All right, well, I was just flying with my buddy. You were sliding? I was just f...",Unknown incident,Incident: Unknown incident,Unknown,Calm,0.51
