Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence
IMG_001,Fire Scene,fire,1 fire region,\ ada,0.82
IMG_002,Fire Scene,fire,1 fire region,Fin; i 1; vera,0.74
IMG_003,Fire Scene,fire,1 fire region,None,0.93
IMG_004,Fire Scene,fire,1 fire region,‘als; _ a,0.94
IMG_005,Fire Scene,fire,1 fire region,None,0.88
IMG_006,Fire Scene,fire,1 fire region,‘atl; CTH Al,0.95
IMG_007,Fire Scene,fire,1 fire region,None,0.92
IMG_008,Fire Scene,fire,1 fire region,nie,0.85
IMG_009,Fire Scene,fire,1 fire region,Paes; i oo; ee i,0.88
IMG_010,Fire Scene,fire,1 fire region,nee; aap; Smal,0.88
IMG_011,Fire Scene,fire,1 fire region,ee |; ors,0.85
IMG_012,Fire Scene,fire,1 fire region,FAN,0.61
IMG_013,Fire Scene,fire,1 fire region,. Pah; ey]; Bis,0.9
IMG_014,Fire Scene,fire,1 fire region,[ee; EEE,0.89
IMG_015,Fire Scene,fire,1 fire region,‘wi; cat; = eel = =,0.89
IMG_016,Fire Scene,fire,1 fire region,>See.,0.91
IMG_017,Fire Scene,fire,1 fire region,etl; ial,0.9
IMG_018,Fire Scene,fire,1 fire region,"ee,",0.91
IMG_019,Fire Scene,fire,1 fire region,2 gy,0.89
IMG_020,Fire Scene,fire,1 fire region,"¥ ct; 4, “hy",0.83
IMG_021,Fire Scene,fire,1 fire region,SMSC UCERE UME); “ae,0.82
IMG_022,Fire Scene,fire,1 fire region,None,0.9
IMG_023,Fire Scene,fire,1 fire region,Te.,0.89
IMG_024,Fire Scene,fire,1 fire region,"Ti, |",0.88
IMG_025,Fire Scene,fire,1 fire region,LETH,0.83
IMG_026,Fire Scene,fire,1 fire region,None,0.83
IMG_027,Fire Scene,fire,1 fire region,* A; ee |; er ees oe,0.82
IMG_028,Fire Scene,fire,1 fire region,eel; Pi seeatheee tail ares,0.79
IMG_029,Fire Scene,fire,1 fire region,nat got OE Te; ane; Smee ot ae,0.87
IMG_030,Fire Scene,fire,1 fire region,None,0.84
IMG_031,Fire Scene,fire,1 fire region,Od -,0.88
IMG_032,Fire Scene,fire,1 fire region,F mle); ay be; cad,0.9
IMG_033,Fire Scene,fire,1 fire region,"i eal ,",0.86
IMG_034,Fire Scene,fire,1 fire region,None,0.86
IMG_035,Fire Scene,fire,1 fire region,a 1,0.87
IMG_036,Fire Scene,fire,1 fire region,ih iete,0.86
IMG_037,Fire Scene,fire,1 fire region,None,0.87
IMG_038,Fire Scene,fire,1 fire region,None,0.85
IMG_039,Fire Scene,fire,1 fire region,—s——~e,0.85
IMG_040,Fire Scene,fire,1 fire region,‘ii,0.83
IMG_041,Fire Scene,fire,1 fire region,Lge,0.54
IMG_042,Fire Scene,fire,1 fire region,None,0.84
IMG_043,Fire Scene,fire,1 fire region,Sal; een eee,0.85
IMG_044,Fire Scene,fire,1 fire region,None,0.86
IMG_045,Fire Scene,fire,1 fire region,None,0.86
IMG_046,Fire Scene,fire,1 fire region,None,0.82
IMG_047,Fire Scene,fire,1 fire region,None,0.83
IMG_048,Fire Scene,fire,1 fire region,None,0.88
IMG_049,Fire Scene,fire,1 fire region,None,0.91
IMG_050,General Incident,None,None,None,0.0
IMG_051,Fire Scene,fire,1 fire region,None,0.93
IMG_052,Fire Scene,fire,1 fire region,None,0.93
IMG_053,Fire Scene,fire,1 fire region,| —a,0.9
IMG_054,Fire Scene,fire,1 fire region,way,0.9
IMG_055,Fire Scene,fire,1 fire region,None,0.9
IMG_056,Fire Scene,fire,1 fire region,ap Y; | eF; lity,0.86
IMG_057,Fire Scene,fire,1 fire region,ca |; ii 7; Pera,0.89
IMG_058,Fire Scene,fire,1 fire region,ree; era; Sele,0.9
IMG_059,Fire Scene,fire,1 fire region,Nt |; Me rT; =k.,0.88
