Call_ID,Full_Text
C001,one ah
C002,This is the Blocopia Bank in 1302 with the Transnational Speedway call of art. Okay.
C003,Yeah? Yeah. Yeah. Yeah. Yeah. Yeah.
C004,"Yes, we're at the Nelson building and there's some men here with the bus to clean into the board meeting. Okay, you're at"
C005,"Listen, we're playing really bad at this. Okay, so get on our track, mate. People, you gotta track, mate, you b****."
C006,Do you know why you got so many people coming up to zobindebs?
C007,"I'm locking in the field and I'm looking for a champ. You're walking in the field. OK, and you should just stop. OK, I'm going to try to find you."
C008,"Tout le monde ast Denton再見, 광 making !"
C009,believed it.
C010,"Okay, it's out! We'll grab an四 to 되게 Fastenyelling and hold it up. Okay."
C011,"Yes, that's two sub-pro here that's the 8 on the ground. Okay, he did get it."
C012,"I mean, I'll wait behind the... ...and the fighters won't turn off."
C013,I'm here at the police station. I'm going to hold. Okay.
C014,"Yes, ma'am, I need to go out and leave quickly. Down the church. Change."
C015,"Ma'am, my cat is a person. I had to go find it."
C016,"Hello? Hello? Hello? Hello? Oh, that one was..."
C017,AMK470949 screw cool depression
C018,I need somebody escorted out of my store right away. He's causing problems.
C019,Hello! Hello! Hello 911!
C020,"I got three people, the second people, thank you. They're taking kids? Yes sir."
C021,"Hey, um, they just woke into my house. They had guns. They told us to just be on the floor. They're splousers like"
C022,"Um, I took some pills and um, the pills were really good mad, and um..."
C023,"All right, well, I was just flying with my buddy. You were sliding? I was just flying. I was sliding."
C024,"If somebody stays with Diane, I'm home alone and he's not here. My daughter is here. If somebody is here, quick."
C025,"I don't have an emergency tube for this stuff, it just left my house just now."
C026,My house is on fire. I don't know how to sleep in and I'll go to someone doom and I'll
C027,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,"
C028,"Yes, I have a gun and I don't it's from LA car loaded and something just got shot."
C029,"I have a friend who's been drinking, I've been trying to help him since him too. He is now loading several weapons in a minute."
C030,"I'm a police at where the heck am I? 291 water counts, three to immediately. We just had bullets."
C031,I'm not sure my friend is called and basically told me she was going to kill herself and I think she probably will.
C032,"with the address, 750 south to 50 west."
C033,"emergency. Fire. Cutting wood. So, what's the location?"
C034,"It's not my, I mean, I haven't made it, I haven't possible, I haven't won overdose."
C035,I ain't gonna like your race a piece Ma'am prove to this for me
C036,"Yeah man, I'm a bit late today and we're in the road. We're going to see the gas."
C037,Nevada more general
C038,"Now, I won't let you know that I'm sleepy. But I heard my doorbell ringing out."
C039,"Please come down here. What's your, what? I don't know that address. You're gonna have to be in the end of the answers."
C040,"What was your weekend of a playboy end down a month in park? A plane going down, months in park. We went down, it was..."
C041,"Oh, somebody is coming. Somebody help. What's going on?"
C042,Somebody was trying to rob us. She got tight right now. We're holding her down. Okay. What address you at?
C043,"Hello? Hello, I'm floating down the river in my car. Okay, what river are you on? I'm..."
C044,"Yes, I need an ambulance on hard stones. Okay, we're in the airport."
C045,"with that little boy missing. Have you had any reports on one? No, I'm sure haven't."
C046,"We need police. Let's find a bike by 5.23. Let's find on them, man."
C047,man please help me I'm a county road 900 to 600 will build the TV towers and
C048,"I'm working to please my, I'm with you right here at America. I don't need largest, but"
C049,I'm not a prospect but I need to have somebody go to my brother's house.
C050,"one one. Hey, my friend is having a feature. Where are you at?"
C051,"Hello? Yes. We've just been robbed. Where? 220,000."
C052,"High Springs Community School, I called 911 a few minutes ago. We have, I heard several gunshots outside."
C053,"Yeah, I need an ambulance to 12 mark in South Reno. Okay, let's go on. Others."
C054,And we made a stain that was some clothes we used for the laundry address and spots that we没事.
C055,4980. I'm talking to my daughter right now. 4980. I'm talking to my daughter. Listen to me. Who is it? Three from the middle.
C056,It's been a demolishing of a house and there is a woman inside and we need someone to come
C057,"to help you. Hi, this is Latisha from store Big Five on Green Valley. I have a person that is robbing me."
C058,"Yes, ma'am, my neighbor just ran over so someone tried to kill her in her house. I don't know what."
C059,"901. My bad idea is that since it's really emotionally abusing me,"
C060,"Yeah, I've got kind of like a knife. My father don't leave a little bit of air. He's 79 years old."
C061,My husband is up in the attic and he's not responding.
C062,"I need to report a murder. Okay, where is that? 157 red-"
C063,"Yeah, it's very much right there in the back. I just think I just found out where you are."
C064,I'm Joan Pearson and I just killed two people.
C065,"Hey, I told you some rally. We've got a medical aburge that 4500"
C066,I just got back from work. From Target. I'm at 330.
C067,"Yes, we need an ambulance. We're at Westport Shopping Center right outside."
C068,"No, no, no! No, no! No, no!"
C069,"Yes, excuse me, so some helicopter is came down. The helicopter came down."
C070,"Yes, helicopter just crashed. A helicopter just crashed? Yes, sir. I think we're about to get started."
C071,"Good enough, Avenue. Someone is running around the neighborhood shooting a gun. Okay, they're in a car."
C072,"Hey, who's it? Sheriff's office can I help you? Yeah, who's this, Gendy? Who's it?"
C073,"of your emergency. A month has spoken to my house and my time is taking. Please come hurry. Okay, what's your address?"
C074,"Do I need any of them to please after or won't? Okay, you need a police officer? Yeah"
C075,"Oh my God, I'm on third Avenue to wherever I'll track somebody just tried to jump on the train and sever her legs."
C076,"I hopped, there's a sitting on arm, yeah, like we're sitting. Sitting with, sitting there, I hopped, in the ass."
C077,My main purpose is did lawyers hear to bail?
C078,I have just smothered my way.
C079,"We're on the boat right now. My friend says, got it by the shark. We have to make..."
C080,"Yes, I got I just shot someone in my business on that 59 31"
C081,"We got some shootings over here in Silbeach. Okay, where? The salon in the Maritala."
C082,"I just killed someone, a hundred, about 40."
C083,"Okay, yes, Emily, Katie, and the traffic search. She's in the city of La Clacetta and her accelerators suspect she can't stop the vehicle."
C084,"I got a report of shooting. Okay, where? Lehigh Hansen for Minette."
C085,"We need the police here. Okay, what's the address of the emergency? The other."
C086,"Okay, we've got a fire down here at the Route 7 right here at Abington."
C087,I want to tell you what's happening first. I just killed my wife. There's no where you're at. What? Where you need to pull.
C088,"What do we say? What happened? I'm sorry, I'm sorry. I'm sorry."
C089,We have been shot at a house in South Mim2. We have three children and we leave somebody here now.
C090,"Yes, I am... I come to Fitzgera concert..."
C091,"I'm behind the Noseville for Vata, license plate, CEG 8148, and we've been all over the road."
C092,4202 Mallor circle. Two men have just crossed my fence to try.
C093,What city are you in?
C094,I am going eastbound on I-10 between LA-30 and LA-44.
