Text_ID,Source,Raw_Text,Crime_Type,Location_Entity,Sentiment,Entities,Topic,Severity_Label,Tokens
TXT_001,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police have arrested a suspect in the Monday shooting at the basketball courts behind ...",Assault,Rocky Mount,Negative,"DATE: Monday, Fri Jan 31, 32211324 | ORG: Word Tabernacle Church | GPE: Rocky Mount, N.C. | PERSON: Twitter | LOC: Rocky Mount",Public Disturbance,High,"lang, en, favorited, false, truncated, false, text, police, arrested, suspect"
TXT_002,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW vi...",Unknown,Chicago,Negative,"GPE: Chicago | DATE: Fri Jan 31, 12811952, 37501003 | ORG: Chicago Sun-Times",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, lawsuit, alleges, chicago"
TXT_003,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  ht...",Assault,Unknown,Negative,"DATE: Fri Jan 31, +0000 2014, 35649 | ORG: Media Matters, Utica Club",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, new, nra, advice"
TXT_004,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police failing to stamp out \u2018honour crimes\u2019, from domestic violence and forc...",Murder,London,Negative,"ORG: crimes\u2019, FGM, href=\""https://about.twitter.com | DATE: Thu Jan 30, +0000 2014, 6107422 | GPE: London",Murder / Homicide,High,"lang, en, favorited, false, truncated, false, text, police, failing, stamp"
TXT_005,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Today's front page: \nPolice failing to stamp out \u2018honour crimes\u2019 http://t.c...",Unknown,crimes\u2019 http://t.co/SLuXLgbQbU,Negative,"DATE: Today, Fri Jan 31, 6107422 | GPE: crimes\u2019 http://t.co/SLuXLgbQbU, London | ORG: href=\""https://about.twitter.com, the Newspaper of the Year, http://t.co/ECCtaoOMeD  Tweet @Times_CS",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, today, front, page"
TXT_006,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Town of Tonawanda Police Search for Bank Robbery Suspect\nhttp://t.co/4aJxs3Mv9G http:...",Robbery,Buffalo,Negative,"DATE: Thu Jan 30, 15308015, 37973 | ORG: href=\""https://about.twitter.com, DDFFCC | GPE: Buffalo, NY",Theft / Robbery,Medium,"lang, en, favorited, false, truncated, false, text, town, tonawanda, police"
TXT_007,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Due to lack of police protection, #Christians in #Pakistan become easy targets for cri...",Unknown,Pakistan,Negative,"GPE: Pakistan, Washington, D.C. | DATE: Thu Jan 30, 39288218, 26122 | ORG: Church",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, due, lack, police"
TXT_008,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene htt...",Unknown,NRA,Negative,"ORG: Crime Scene, Orioles | DATE: Thu Jan 30, 576318595, 2215 | GPE: NRA, Washington, DC",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, new, advice, cooperate"
TXT_009,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ tra...",Drug Offense,Baltimore,Negative,"GPE: Baltimore, MD | PERSON: @baltimoresun http://t.co/A0TRUflAYl | DATE: Fri Jan 31, 8861752, 141695764 | ORG: Law Enforcement Against Prohibition, Drug Policy) Drug Abuse Is",Drug Related,Medium,"lang, en, favorited, false, truncated, false, text, commish, batts, makes"
TXT_010,CrimeReport / Kaggle,"{""lang"": ""en"", ""favorited"": false, ""truncated"": false, ""text"": ""Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated rai...",Unknown,England,Negative,"PERSON: Redbridge | DATE: Fri Jan 31, +0000 2014, 16027848 | GPE: England",Public Disturbance,Low,"lang, en, favorited, false, truncated, false, text, police, swoop, homeless"
